Regular clients stay here,,,,,,,,,,
Host Id,Description,Neighbourhood ,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price
5162530,1 Bedroom in Prime Williamsburg,Brooklyn,Apartment,96,Entire home/apt,11249,1,1,3,145
33134899,"Sunny, Private room in Bushwick",Brooklyn,Apartment,93,Private room,11206,1,1,1,37
39608626,Sunny Room in Harlem,Manhattan,Apartment,99,Private room,10032,1,1,1,28
500,Gorgeous 1 BR with Private Balcony,Manhattan,Apartment,100,Entire home/apt,10024,3,1,6,199
500,"Trendy Times Square Loft, With Roommate",Manhattan,Apartment,95,Private room,10036,3,1,39,549
1039,Big Greenpoint 1BD w/ Skyline View,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,4,149
,,,,,,,,,,
VIP clients stay here,,,,,,,,,,
Host Id,Description,Neighbourhood ,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price
7740,Cozy Girly Studio; Upper West Side,Manhattan,Apartment,90,Entire home/apt,10024,1,1,98,200
7949,Creative Charm in Brooklyn,Brooklyn,Apartment,100,Private room,11238,1,1,4,65
7999,Sunny Large 1 Bedroom w/ balconies!,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,1,165
7987,Upper West Side-Unique One Bedroom,Manhattan,Apartment,90,Entire home/apt,10025,1,1,24,145
7989,Central Manhattan/near Broadway,Manhattan,Apartment,95,Private room,10036,1,1,74,135
8057,GREAT NEW LOWER EAST SIDE/ SOHO APT,Manhattan,Apartment,85,Entire home/apt,10002,2,1,20,225
8057,HUGE 2 BEDROOM LOFT NOHO/EAST VILL.,Manhattan,Apartment,75,Entire home/apt,10003,3,1,32,250
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Still need to check out these apts,,,,,,,,,,
11810,NYC Historic District Posh Studio,Queens,Apartment,,Private room,11372,1,1,,150
12169,"Dream Come True, Too! Williamsburg",Brooklyn,Apartment,90,Private room,11211,1,1,43,89
12169,"Dream Come True! Williamsburg, BK",Brooklyn,Apartment,90,Private room,11211,1,1,91,99
12221,5Minutes To Manhattan Cozy Oasis,Bronx,Apartment,80,Private room,10451,3,1,105,42
12221,5Minutes To Manhattan Zen&Cozy,Bronx,Apartment,85,Private room,10451,3,1,96,42
12220,Big Room in front of Central Park,Manhattan,Apartment,85,Private room,10025,1,1,74,132
12220,Your Room in front of Central Park,Manhattan,Apartment,90,Private room,10025,1,1,141,117