Host Id,5162530,33134899,39608626,500,500,1039
Description,1 Bedroom in Prime Williamsburg,Sunny  Private room in Bushwick,Sunny Room in Harlem,Gorgeous 1 BR with Private Balcony,Trendy Times Square Loft  With Roommate,Big Greenpoint 1BD w/ Skyline View
Neighbourhood ,Brooklyn,Brooklyn,Manhattan,Manhattan,Manhattan,Brooklyn
Property Type,Apartment,Apartment,Apartment,Apartment,Apartment,Apartment
Review Scores Rating (bin),,93,99,,95,100
Room Type,Entire home/apt,Private room,Private room,Entire home/apt,Private room,Entire home/apt
Zipcode,11249,11206,10032,10024,10036,11222
Beds,1,1,1,3,3,1
Number of Records,1,1,1,1,1,1
Number Of Reviews,,1,1,,39,4
Price,145,37,28,199,549,149